,ml,mr,pr,pl,rr,rl,gainloss,mdiff,pdiff,adiff,ev_r,ev_l,prob_o_l,prob_o_r,nobrainer
149,-19.0,-48.0,0.32,0.2,1.0,1.0,2.0,-29.0,-0.12,0.0,-11.56,11.56,0.8,0.68,0
150,-7.0,-5.0,0.04,0.32,1.0,1.0,2.0,2.0,0.28,0.0,2.04,-2.04,0.68,0.96,0
151,-74.0,-78.0,0.24,0.08,1.0,0.4,2.0,-4.0,-0.16,0.6,-12.8,12.8,0.92,0.76,0
152,-16.0,-15.0,0.08,0.42,1.0,0.06,2.0,1.0,0.34,0.94,5.52,-5.52,0.58,0.92,0
153,-84.0,-74.0,0.64,0.72,1.0,0.02,2.0,10.0,0.08,0.98,13.12,-13.12,0.28,0.36,0
154,-115.0,-94.0,0.36,0.48,0.2,1.0,2.0,21.0,0.12,-0.8,21.36,-21.36,0.52,0.64,0
155,138.0,106.0,0.4,0.52,1.0,1.0,1.0,-32.0,0.12,0.0,-29.36,29.36,0.48,0.6,0
156,9.0,63.0,0.52,0.44,1.0,0.1,1.0,54.0,-0.08,0.9,28.8,-28.8,0.56,0.48,0
157,67.0,66.0,0.16,0.24,0.8,1.0,1.0,-1.0,0.08,-0.2,-5.52,5.52,0.76,0.84,0
158,30.0,48.0,0.44,0.24,1.0,1.0,1.0,18.0,-0.2,0.0,13.92,-13.92,0.76,0.56,0
159,93.0,82.0,0.16,0.32,1.0,0.4,1.0,-11.0,0.16,0.6,-16.64,16.64,0.68,0.84,0
160,-16.0,-25.0,0.56,0.1,1.0,0.02,2.0,-9.0,-0.46,0.98,-12.4,12.4,0.9,0.44,0
161,-44.0,-61.0,0.74,0.66,1.0,1.0,2.0,-17.0,-0.08,0.0,-16.1,16.1,0.34,0.26,0
162,-4.0,-15.0,0.1,0.26,1.0,1.0,2.0,-11.0,0.16,0.0,-0.46,0.46,0.74,0.9,1
163,-74.0,-60.0,0.56,0.56,0.06,1.0,2.0,14.0,0.0,-0.94,7.84,-7.84,0.44,0.44,0
164,-11.0,-2.0,0.22,0.04,1.0,1.0,2.0,9.0,-0.18,0.0,0.0,0.0,0.96,0.78,1
165,37.0,100.0,0.8,0.18,1.0,1.0,1.0,63.0,-0.62,0.0,73.34,-73.34,0.82,0.2,0
166,39.0,75.0,0.2,0.24,1.0,1.0,1.0,36.0,0.04,0.0,5.64,-5.64,0.76,0.8,1
167,136.0,29.0,0.48,0.56,1.0,1.0,1.0,-107.0,0.08,0.0,-62.24,62.24,0.44,0.52,0
168,87.0,55.0,0.44,0.6,1.0,0.1,1.0,-32.0,0.16,0.9,-28.0,28.0,0.4,0.56,0
169,85.0,35.0,0.1,0.68,0.8,1.0,1.0,-50.0,0.58,-0.2,-54.3,54.3,0.32,0.9,0
170,16.0,46.0,0.7,0.12,0.4,1.0,1.0,30.0,-0.58,-0.6,30.28,-30.28,0.88,0.3,0
171,96.0,86.0,0.2,0.24,1.0,1.0,1.0,-10.0,0.04,0.0,-5.84,5.84,0.76,0.8,0
172,29.0,48.0,0.64,0.68,1.0,1.0,1.0,19.0,0.04,0.0,11.0,-11.0,0.32,0.36,1
173,125.0,17.0,0.12,0.88,1.0,0.06,1.0,-108.0,0.76,0.94,-107.96,107.96,0.12,0.88,0
174,38.0,27.0,0.44,0.2,1.0,1.0,1.0,-11.0,-0.24,0.0,4.28,-4.28,0.8,0.56,1
175,-138.0,-106.0,0.4,0.52,1.0,1.0,2.0,32.0,0.12,0.0,29.36,-29.36,0.48,0.6,0
176,-9.0,-63.0,0.52,0.44,1.0,0.1,2.0,-54.0,-0.08,0.9,-28.8,28.8,0.56,0.48,0
177,-67.0,-66.0,0.16,0.24,0.8,1.0,2.0,1.0,0.08,-0.2,5.52,-5.52,0.76,0.84,0
178,-30.0,-48.0,0.44,0.24,1.0,1.0,2.0,-18.0,-0.2,0.0,-13.92,13.92,0.76,0.56,0
179,-93.0,-82.0,0.16,0.32,1.0,0.4,2.0,11.0,0.16,0.6,16.64,-16.64,0.68,0.84,0
180,-25.0,-16.0,0.1,0.56,0.06,1.0,2.0,9.0,0.46,-0.94,12.4,-12.4,0.44,0.9,0
181,-31.0,-75.0,0.6,0.84,1.0,1.0,2.0,-44.0,0.24,0.0,-18.96,18.96,0.16,0.4,1
182,-74.0,-60.0,0.12,0.16,1.0,1.0,2.0,14.0,0.04,0.0,4.64,-4.64,0.84,0.88,0
183,-98.0,-71.0,0.08,0.36,0.1,1.0,2.0,27.0,0.28,-0.9,29.6,-29.6,0.64,0.92,0
184,-25.0,-55.0,0.72,0.48,1.0,1.0,2.0,-30.0,-0.24,0.0,-27.6,27.6,0.52,0.28,0
185,16.0,25.0,0.56,0.1,1.0,0.02,1.0,9.0,-0.46,0.98,12.4,-12.4,0.9,0.44,0
186,44.0,61.0,0.74,0.66,1.0,1.0,1.0,17.0,-0.08,0.0,16.1,-16.1,0.34,0.26,0
187,4.0,15.0,0.1,0.26,1.0,1.0,1.0,11.0,0.16,0.0,0.46,-0.46,0.74,0.9,1
188,74.0,60.0,0.56,0.56,0.06,1.0,1.0,-14.0,0.0,-0.94,-7.84,7.84,0.44,0.44,0
189,11.0,2.0,0.22,0.04,1.0,1.0,1.0,-9.0,-0.18,0.0,0.0,0.0,0.96,0.78,1
190,12.0,134.0,0.94,0.28,1.0,1.0,1.0,122.0,-0.66,0.0,122.6,-122.6,0.72,0.06,0
191,11.0,4.0,0.32,0.78,0.2,1.0,1.0,-7.0,0.46,-0.8,-7.3,7.3,0.22,0.68,0
192,13.0,9.0,0.52,0.38,0.02,1.0,1.0,-4.0,-0.14,-0.98,-0.26,0.26,0.62,0.48,1
193,47.0,99.0,0.84,0.36,0.4,1.0,1.0,52.0,-0.48,-0.6,66.24,-66.24,0.64,0.16,0
194,60.0,40.0,0.54,0.7,0.1,1.0,1.0,-20.0,0.16,-0.9,-20.4,20.4,0.3,0.46,0
195,-106.0,-44.0,0.38,0.72,1.0,1.0,2.0,62.0,0.34,0.0,59.6,-59.6,0.28,0.62,0
196,-11.0,-19.0,0.5,0.5,1.0,1.0,2.0,-8.0,0.0,0.0,-4.0,4.0,0.5,0.5,0
197,-125.0,-80.0,0.44,0.52,0.02,1.0,2.0,45.0,0.08,-0.98,29.8,-29.8,0.48,0.56,0
198,-16.0,-38.0,0.6,0.26,1.0,1.0,2.0,-22.0,-0.34,0.0,-18.64,18.64,0.74,0.4,0
199,-97.0,-70.0,0.08,0.36,0.02,1.0,2.0,27.0,0.28,-0.98,29.32,-29.32,0.64,0.92,0
200,-25.0,-47.0,0.68,0.4,1.0,0.1,2.0,-22.0,-0.28,0.9,-21.96,21.96,0.6,0.32,0
201,-9.0,-18.0,0.32,0.04,1.0,0.4,2.0,-9.0,-0.28,0.6,-5.4,5.4,0.96,0.68,0
202,-63.0,-29.0,0.48,0.04,0.8,1.0,2.0,34.0,-0.44,-0.2,-11.4,11.4,0.96,0.52,1
203,-39.0,-52.0,0.36,0.06,1.0,1.0,2.0,-13.0,-0.3,0.0,-16.38,16.38,0.94,0.64,0
204,-17.0,-125.0,0.88,0.12,0.02,1.0,2.0,-108.0,-0.76,-0.98,-107.96,107.96,0.88,0.12,0
205,9.0,13.0,0.38,0.52,1.0,0.8,1.0,4.0,0.14,0.2,0.26,-0.26,0.48,0.62,1
206,34.0,94.0,0.84,0.12,1.0,0.2,1.0,60.0,-0.72,0.8,74.88,-74.88,0.88,0.16,0
207,28.0,40.0,0.62,0.26,1.0,1.0,1.0,12.0,-0.36,0.0,17.52,-17.52,0.74,0.38,0
208,62.0,22.0,0.32,0.72,1.0,1.0,1.0,-40.0,0.4,0.0,-37.6,37.6,0.28,0.68,0
209,118.0,32.0,0.62,0.8,1.0,1.0,1.0,-86.0,0.18,0.0,-74.56,74.56,0.2,0.38,0
210,-21.0,-7.0,0.28,0.76,1.0,0.2,2.0,14.0,0.48,0.8,14.0,-14.0,0.24,0.72,0
211,-63.0,-13.0,0.6,0.52,1.0,1.0,2.0,50.0,-0.08,0.0,24.96,-24.96,0.48,0.4,1
212,-76.0,-38.0,0.34,0.72,0.06,1.0,2.0,38.0,0.38,-0.94,41.8,-41.8,0.28,0.66,0
213,-15.0,-5.0,0.06,0.34,1.0,1.0,2.0,10.0,0.28,0.0,4.8,-4.8,0.66,0.94,0
214,-11.0,-14.0,0.56,0.56,1.0,0.02,2.0,-3.0,0.0,0.98,-1.68,1.68,0.44,0.44,0
215,-85.0,-78.0,0.82,0.82,1.0,1.0,2.0,7.0,0.0,0.0,5.74,-5.74,0.18,0.18,0
216,-89.0,-74.0,0.28,0.4,1.0,0.06,2.0,15.0,0.12,0.94,14.88,-14.88,0.6,0.72,0
217,-54.0,-132.0,0.52,0.12,1.0,1.0,2.0,-78.0,-0.4,0.0,-62.16,62.16,0.88,0.48,0
218,-63.0,-8.0,0.36,0.52,1.0,0.1,2.0,55.0,0.16,0.9,29.88,-29.88,0.48,0.64,0
219,-11.0,-31.0,0.48,0.2,1.0,1.0,2.0,-20.0,-0.28,0.0,-12.68,12.68,0.8,0.52,0
220,20.0,44.0,0.58,0.14,0.2,1.0,1.0,24.0,-0.44,-0.8,22.72,-22.72,0.86,0.42,0
221,42.0,71.0,0.16,0.28,0.06,1.0,1.0,29.0,0.12,-0.94,-0.4,0.4,0.72,0.84,1
222,15.0,17.0,0.42,0.42,1.0,1.0,1.0,2.0,0.0,0.0,0.84,-0.84,0.58,0.58,0
223,130.0,68.0,0.58,0.78,1.0,1.0,1.0,-62.0,0.2,0.0,-61.96,61.96,0.22,0.42,0
224,70.0,97.0,0.36,0.08,1.0,0.8,1.0,27.0,-0.28,0.2,29.32,-29.32,0.92,0.64,0
225,-97.0,-86.0,0.32,0.36,1.0,1.0,2.0,11.0,0.04,0.0,7.4,-7.4,0.64,0.68,0
226,-60.0,-23.0,0.16,0.78,1.0,0.1,2.0,37.0,0.62,0.9,43.12,-43.12,0.22,0.84,0
227,-74.0,-88.0,0.24,0.32,1.0,0.06,2.0,-14.0,0.08,0.94,2.56,-2.56,0.68,0.76,1
228,-84.0,-91.0,0.32,0.16,0.2,1.0,2.0,-7.0,-0.16,-0.8,-15.68,15.68,0.84,0.68,0
229,-9.0,-22.0,0.32,0.44,1.0,1.0,2.0,-13.0,0.12,0.0,-3.08,3.08,0.56,0.68,1
230,-55.0,-42.0,0.1,0.38,0.8,1.0,2.0,13.0,0.28,-0.2,16.7,-16.7,0.62,0.9,0
231,-31.0,-31.0,0.52,0.04,1.0,1.0,2.0,0.0,-0.48,0.0,-14.88,14.88,0.96,0.48,0
232,-5.0,-12.0,0.44,0.3,1.0,1.0,2.0,-7.0,-0.14,0.0,-3.78,3.78,0.7,0.56,0
233,-38.0,-81.0,0.62,0.36,1.0,0.02,2.0,-43.0,-0.26,0.98,-36.54,36.54,0.64,0.38,0
234,-7.0,-14.0,0.58,0.16,1.0,1.0,2.0,-7.0,-0.42,0.0,-7.0,7.0,0.84,0.42,0
235,-38.0,-42.0,0.28,0.2,1.0,1.0,2.0,-4.0,-0.08,0.0,-4.16,4.16,0.8,0.72,0
236,-80.0,-89.0,0.32,0.2,1.0,1.0,2.0,-9.0,-0.12,0.0,-12.48,12.48,0.8,0.68,0
237,-114.0,-78.0,0.12,0.44,1.0,1.0,2.0,36.0,0.32,0.0,40.8,-40.8,0.56,0.88,0
238,-63.0,-58.0,0.48,0.92,0.1,1.0,2.0,5.0,0.44,-0.9,30.12,-30.12,0.08,0.52,0
239,-5.0,-25.0,0.4,0.04,1.0,1.0,2.0,-20.0,-0.36,0.0,-9.8,9.8,0.96,0.6,0
240,21.0,49.0,0.64,0.34,0.2,1.0,1.0,28.0,-0.3,-0.8,24.22,-24.22,0.66,0.36,0
241,11.0,16.0,0.6,0.72,1.0,1.0,1.0,5.0,0.12,0.0,1.68,-1.68,0.28,0.4,1
242,7.0,5.0,0.24,0.16,1.0,1.0,1.0,-2.0,-0.08,0.0,0.08,-0.08,0.84,0.76,1
243,11.0,8.0,0.36,0.56,0.06,1.0,1.0,-3.0,0.2,-0.94,-3.28,3.28,0.44,0.64,0
244,40.0,74.0,0.56,0.28,1.0,0.1,1.0,34.0,-0.28,0.9,30.24,-30.24,0.72,0.44,0
245,-5.0,-56.0,0.92,0.44,1.0,0.8,2.0,-51.0,-0.48,0.2,-49.32,49.32,0.56,0.08,0
246,-26.0,-73.0,0.7,0.12,0.2,1.0,2.0,-47.0,-0.58,-0.8,-47.98,47.98,0.88,0.3,0
247,-11.0,-42.0,0.28,0.56,1.0,1.0,2.0,-31.0,0.28,0.0,-5.6,5.6,0.44,0.72,1
248,-23.0,-7.0,0.32,0.36,1.0,1.0,2.0,16.0,0.04,0.0,6.04,-6.04,0.64,0.68,0
249,-47.0,-24.0,0.2,0.28,1.0,1.0,2.0,23.0,0.08,0.0,8.36,-8.36,0.72,0.8,0
250,97.0,86.0,0.32,0.36,1.0,1.0,1.0,-11.0,0.04,0.0,-7.4,7.4,0.64,0.68,0
251,60.0,23.0,0.16,0.78,1.0,0.1,1.0,-37.0,0.62,0.9,-43.12,43.12,0.22,0.84,0
252,74.0,88.0,0.24,0.32,1.0,0.06,1.0,14.0,0.08,0.94,-2.56,2.56,0.68,0.76,1
253,84.0,91.0,0.32,0.16,0.2,1.0,1.0,7.0,-0.16,-0.8,15.68,-15.68,0.84,0.68,0
254,9.0,22.0,0.32,0.44,1.0,1.0,1.0,13.0,0.12,0.0,3.08,-3.08,0.56,0.68,1
255,85.0,78.0,0.82,0.82,1.0,1.0,1.0,-7.0,0.0,0.0,-5.74,5.74,0.18,0.18,0
256,89.0,74.0,0.28,0.4,1.0,0.06,1.0,-15.0,0.12,0.94,-14.88,14.88,0.6,0.72,0
257,54.0,132.0,0.52,0.12,1.0,1.0,1.0,78.0,-0.4,0.0,62.16,-62.16,0.88,0.48,0
258,63.0,8.0,0.36,0.52,1.0,0.1,1.0,-55.0,0.16,0.9,-29.88,29.88,0.48,0.64,0
259,11.0,31.0,0.48,0.2,1.0,1.0,1.0,20.0,-0.28,0.0,12.68,-12.68,0.8,0.52,0
260,-6.0,-5.0,0.08,0.16,1.0,1.0,2.0,1.0,0.08,0.0,0.56,-0.56,0.84,0.92,0
261,-34.0,-94.0,0.84,0.12,1.0,1.0,2.0,-60.0,-0.72,0.0,-74.88,74.88,0.88,0.16,0
262,-54.0,-74.0,0.66,0.4,1.0,0.2,2.0,-20.0,-0.26,0.8,-27.24,27.24,0.6,0.34,0
263,-8.0,-9.0,0.52,0.74,1.0,1.0,2.0,-1.0,0.22,0.0,1.24,-1.24,0.26,0.48,1
264,-7.0,-27.0,0.78,0.32,0.02,1.0,2.0,-20.0,-0.46,-0.98,-18.82,18.82,0.68,0.22,0
265,33.0,60.0,0.74,0.58,0.4,1.0,1.0,27.0,-0.16,-0.6,25.26,-25.26,0.42,0.26,0
266,34.0,94.0,0.84,0.12,1.0,0.02,1.0,60.0,-0.72,0.98,74.88,-74.88,0.88,0.16,0
267,72.0,89.0,0.32,0.04,1.0,0.1,1.0,17.0,-0.28,0.9,25.6,-25.6,0.96,0.68,0
268,11.0,14.0,0.76,0.52,1.0,1.0,1.0,3.0,-0.24,0.0,4.92,-4.92,0.48,0.24,0
269,125.0,5.0,0.08,0.96,1.0,1.0,1.0,-120.0,0.88,0.0,-119.6,119.6,0.04,0.92,0
270,38.0,42.0,0.28,0.2,1.0,1.0,1.0,4.0,-0.08,0.0,4.16,-4.16,0.8,0.72,0
271,80.0,89.0,0.32,0.2,1.0,1.0,1.0,9.0,-0.12,0.0,12.48,-12.48,0.8,0.68,0
272,114.0,78.0,0.12,0.44,1.0,1.0,1.0,-36.0,0.32,0.0,-40.8,40.8,0.56,0.88,0
273,63.0,58.0,0.48,0.92,0.1,1.0,1.0,-5.0,0.44,-0.9,-30.12,30.12,0.08,0.52,0
274,5.0,25.0,0.4,0.04,1.0,1.0,1.0,20.0,-0.36,0.0,9.8,-9.8,0.96,0.6,0
275,-21.0,-49.0,0.64,0.34,0.2,1.0,2.0,-28.0,-0.3,-0.8,-24.22,24.22,0.66,0.36,0
276,-11.0,-16.0,0.6,0.72,1.0,1.0,2.0,-5.0,0.12,0.0,-1.68,1.68,0.28,0.4,1
277,-7.0,-5.0,0.24,0.16,1.0,1.0,2.0,2.0,-0.08,0.0,-0.08,0.08,0.84,0.76,1
278,-11.0,-8.0,0.36,0.56,0.06,1.0,2.0,3.0,0.2,-0.94,3.28,-3.28,0.44,0.64,0
279,-40.0,-74.0,0.56,0.28,1.0,0.1,2.0,-34.0,-0.28,0.9,-30.24,30.24,0.72,0.44,0
280,-72.0,-60.0,0.4,0.64,1.0,1.0,2.0,12.0,0.24,0.0,22.08,-22.08,0.36,0.6,0
281,-30.0,-29.0,0.06,0.12,1.0,1.0,2.0,1.0,0.06,0.0,1.86,-1.86,0.88,0.94,0
282,-18.0,-47.0,0.68,0.16,1.0,1.0,2.0,-29.0,-0.52,0.0,-29.08,29.08,0.84,0.32,0
283,-94.0,-34.0,0.12,0.84,0.8,1.0,2.0,60.0,0.72,-0.2,74.88,-74.88,0.16,0.88,0
284,-116.0,-42.0,0.06,0.76,1.0,1.0,2.0,74.0,0.7,0.0,85.64,-85.64,0.24,0.94,0
285,25.0,47.0,0.68,0.4,1.0,0.1,1.0,22.0,-0.28,0.9,21.96,-21.96,0.6,0.32,0
286,9.0,18.0,0.32,0.04,1.0,0.4,1.0,9.0,-0.28,0.6,5.4,-5.4,0.96,0.68,0
287,63.0,29.0,0.48,0.04,0.8,1.0,1.0,-34.0,-0.44,-0.2,11.4,-11.4,0.96,0.52,1
288,39.0,52.0,0.36,0.06,1.0,1.0,1.0,13.0,-0.3,0.0,16.38,-16.38,0.94,0.64,0
289,17.0,125.0,0.88,0.12,0.02,1.0,1.0,108.0,-0.76,-0.98,107.96,-107.96,0.88,0.12,0
290,54.0,74.0,0.66,0.4,1.0,0.4,1.0,20.0,-0.26,0.6,27.24,-27.24,0.6,0.34,0
291,93.0,127.0,0.6,0.36,1.0,1.0,1.0,34.0,-0.24,0.0,42.72,-42.72,0.64,0.4,0
292,39.0,21.0,0.34,0.64,1.0,0.02,1.0,-18.0,0.3,0.98,-17.82,17.82,0.36,0.66,0
293,9.0,13.0,0.38,0.52,1.0,0.2,1.0,4.0,0.14,0.8,0.26,-0.26,0.48,0.62,1
294,125.0,63.0,0.52,0.96,1.0,1.0,1.0,-62.0,0.44,0.0,-87.24,87.24,0.04,0.48,0
295,-48.0,-51.0,0.26,0.38,0.4,1.0,2.0,-3.0,0.12,-0.6,4.98,-4.98,0.62,0.74,1
296,-5.0,-42.0,0.64,0.08,1.0,0.8,2.0,-37.0,-0.56,0.2,-26.48,26.48,0.92,0.36,0
297,-39.0,-42.0,0.56,0.68,1.0,1.0,2.0,-3.0,0.12,0.0,3.0,-3.0,0.32,0.44,1
298,-42.0,-61.0,0.48,0.24,1.0,1.0,2.0,-19.0,-0.24,0.0,-19.2,19.2,0.76,0.52,0
299,-37.0,-115.0,0.68,0.18,1.0,1.0,2.0,-78.0,-0.5,0.0,-71.54,71.54,0.82,0.32,0
