trial_number,ml,mr,pr,pl,rr,rl,revealed_o_l,revealed_x_l,revealed_o_r,revealed_x_r,mag_left,mag_right
150,-23.0,-7.0,0.68,0.64,1.0,1.0,17.0,33.0,16.0,34.0,-23.0,-7.0
151,-33.0,-7.0,0.68,0.92,1.0,1.0,3.0,47.0,17.0,33.0,-33.0,-7.0
152,-63.0,-58.0,0.52,0.08,0.1,1.0,45.0,5.0,2.0,3.0,-63.0,-58.0
153,-47.0,-99.0,0.16,0.64,0.4,1.0,19.0,31.0,17.0,3.0,-47.0,-99.0
154,-118.0,-32.0,0.38,0.2,1.0,1.0,39.0,11.0,31.0,19.0,-118.0,-32.0
155,138.0,106.0,0.6,0.48,1.0,1.0,25.0,25.0,21.0,29.0,138.0,106.0
156,30.0,63.0,0.48,0.56,1.0,0.1,3.0,2.0,26.0,24.0,30.0,63.0
157,67.0,66.0,0.84,0.76,0.8,1.0,12.0,38.0,9.0,31.0,67.0,66.0
158,30.0,48.0,0.56,0.76,1.0,1.0,12.0,38.0,22.0,28.0,30.0,48.0
159,101.0,82.0,0.84,0.68,1.0,0.4,5.0,15.0,8.0,42.0,101.0,82.0
160,-6.0,-5.0,0.92,0.84,1.0,1.0,8.0,42.0,4.0,46.0,-6.0,-5.0
161,-60.0,-94.0,0.16,0.88,1.0,0.02,0.0,1.0,42.0,8.0,-60.0,-94.0
162,-15.0,-53.0,0.32,0.96,1.0,1.0,3.0,47.0,33.0,17.0,-15.0,-53.0
163,-40.0,-50.0,0.5,0.72,1.0,0.1,1.0,4.0,25.0,25.0,-40.0,-50.0
164,-125.0,-80.0,0.56,0.48,0.02,1.0,27.0,23.0,0.0,1.0,-125.0,-80.0
165,37.0,100.0,0.2,0.82,1.0,1.0,10.0,40.0,39.0,11.0,37.0,100.0
166,39.0,75.0,0.8,0.76,1.0,1.0,12.0,38.0,9.0,41.0,39.0,75.0
167,136.0,29.0,0.52,0.44,1.0,1.0,28.0,22.0,24.0,26.0,136.0,29.0
168,87.0,55.0,0.8,0.4,1.0,0.1,4.0,1.0,10.0,40.0,87.0,55.0
169,85.0,70.0,0.9,0.32,0.8,1.0,33.0,17.0,6.0,34.0,85.0,70.0
170,16.0,46.0,0.3,0.64,0.4,1.0,18.0,32.0,15.0,5.0,16.0,46.0
171,96.0,86.0,0.8,0.76,1.0,1.0,12.0,38.0,10.0,40.0,96.0,86.0
172,29.0,48.0,0.36,0.32,1.0,1.0,33.0,17.0,32.0,18.0,29.0,48.0
173,100.0,60.0,0.88,0.12,1.0,0.06,2.0,1.0,7.0,43.0,100.0,60.0
174,38.0,27.0,0.56,0.8,1.0,1.0,10.0,40.0,23.0,27.0,38.0,27.0
175,-62.0,-22.0,0.68,0.28,1.0,1.0,37.0,13.0,15.0,35.0,-62.0,-22.0
176,-39.0,-34.0,0.88,0.76,1.0,1.0,13.0,37.0,6.0,44.0,-39.0,-34.0
177,-40.0,-51.0,0.36,0.38,0.06,1.0,31.0,19.0,2.0,1.0,-40.0,-51.0
178,-89.0,-74.0,0.7,0.6,1.0,0.06,1.0,2.0,15.0,35.0,-89.0,-74.0
179,-72.0,-89.0,0.8,0.96,1.0,0.1,0.0,5.0,10.0,40.0,-72.0,-89.0
180,-34.0,-94.0,0.16,0.88,1.0,1.0,7.0,43.0,41.0,9.0,-34.0,-94.0
181,-63.0,-60.0,0.52,0.96,0.8,1.0,3.0,47.0,19.0,21.0,-63.0,-60.0
182,-67.0,-66.0,0.84,0.76,0.8,1.0,12.0,38.0,9.0,31.0,-67.0,-66.0
183,-62.0,-134.0,0.2,0.26,1.0,1.0,36.0,14.0,40.0,10.0,-62.0,-134.0
184,-85.0,-78.0,0.18,0.18,1.0,1.0,41.0,9.0,40.0,10.0,-85.0,-78.0
185,20.0,25.0,0.44,0.9,1.0,0.02,1.0,0.0,26.0,24.0,20.0,25.0
186,44.0,61.0,0.26,0.34,1.0,1.0,33.0,17.0,36.0,14.0,44.0,61.0
187,4.0,15.0,0.9,0.74,1.0,1.0,12.0,38.0,5.0,45.0,4.0,15.0
188,90.0,60.0,0.44,0.44,0.06,1.0,26.0,24.0,2.0,1.0,90.0,60.0
189,11.0,2.0,0.78,0.96,1.0,1.0,2.0,48.0,12.0,38.0,11.0,2.0
190,12.0,134.0,0.06,0.72,1.0,1.0,14.0,36.0,46.0,4.0,12.0,134.0
191,11.0,8.0,0.68,0.22,0.2,1.0,39.0,11.0,2.0,8.0,11.0,8.0
192,13.0,9.0,0.48,0.62,0.02,1.0,20.0,30.0,0.0,1.0,13.0,9.0
193,47.0,99.0,0.16,0.64,0.4,1.0,19.0,31.0,17.0,3.0,47.0,99.0
194,60.0,50.0,0.46,0.3,0.1,1.0,35.0,15.0,3.0,2.0,60.0,50.0
195,-115.0,-5.0,0.92,0.52,0.4,1.0,23.0,27.0,3.0,17.0,-115.0,-5.0
196,-9.0,-13.0,0.62,0.48,1.0,0.8,20.0,20.0,19.0,31.0,-9.0,-13.0
197,-27.0,-15.0,0.6,0.22,1.0,0.06,1.0,2.0,20.0,30.0,-27.0,-15.0
198,-13.0,-9.0,0.48,0.62,0.02,1.0,20.0,30.0,0.0,1.0,-13.0,-9.0
199,-44.0,-61.0,0.26,0.34,1.0,1.0,33.0,17.0,36.0,14.0,-44.0,-61.0
200,-88.0,-80.0,0.68,0.76,0.02,1.0,12.0,38.0,1.0,0.0,-88.0,-80.0
201,-39.0,-42.0,0.44,0.32,1.0,1.0,34.0,16.0,27.0,23.0,-39.0,-42.0
202,-54.0,-74.0,0.34,0.6,1.0,0.4,5.0,15.0,31.0,19.0,-54.0,-74.0
203,-115.0,-94.0,0.64,0.52,0.2,1.0,24.0,26.0,3.0,7.0,-115.0,-94.0
204,-85.0,-70.0,0.9,0.32,0.8,1.0,33.0,17.0,6.0,34.0,-85.0,-70.0
205,9.0,13.0,0.62,0.48,1.0,0.8,20.0,20.0,19.0,31.0,9.0,13.0
206,45.0,94.0,0.16,0.88,1.0,0.2,3.0,7.0,41.0,9.0,45.0,94.0
207,28.0,40.0,0.38,0.74,1.0,1.0,13.0,37.0,31.0,19.0,28.0,40.0
208,62.0,22.0,0.68,0.28,1.0,1.0,37.0,13.0,15.0,35.0,62.0,22.0
209,118.0,32.0,0.38,0.2,1.0,1.0,39.0,11.0,31.0,19.0,118.0,32.0
210,-42.0,-71.0,0.84,0.72,0.06,1.0,14.0,36.0,0.0,3.0,-42.0,-71.0
211,-80.0,-23.0,0.82,0.22,1.0,0.1,4.0,1.0,4.0,46.0,-80.0,-23.0
212,-68.0,-45.0,0.6,0.44,0.8,1.0,27.0,23.0,20.0,30.0,-68.0,-45.0
213,-11.0,-42.0,0.72,0.44,1.0,1.0,27.0,23.0,13.0,37.0,-11.0,-42.0
214,-96.0,-86.0,0.8,0.76,1.0,1.0,12.0,38.0,10.0,40.0,-96.0,-86.0
215,-29.0,-48.0,0.36,0.32,1.0,1.0,33.0,17.0,32.0,18.0,-29.0,-48.0
216,-19.0,-48.0,0.68,0.8,1.0,1.0,10.0,40.0,16.0,34.0,-19.0,-48.0
217,-39.0,-42.0,0.5,0.3,1.0,0.8,25.0,15.0,25.0,25.0,-39.0,-42.0
218,-116.0,-42.0,0.94,0.24,1.0,1.0,37.0,13.0,4.0,46.0,-116.0,-42.0
219,-136.0,-29.0,0.52,0.44,1.0,1.0,28.0,22.0,24.0,26.0,-136.0,-29.0
220,20.0,44.0,0.42,0.86,0.2,1.0,7.0,43.0,1.0,9.0,20.0,44.0
221,42.0,71.0,0.84,0.72,0.06,1.0,14.0,36.0,0.0,3.0,42.0,71.0
222,15.0,17.0,0.58,0.58,1.0,1.0,21.0,29.0,21.0,29.0,15.0,17.0
223,130.0,68.0,0.42,0.22,1.0,1.0,38.0,12.0,28.0,22.0,130.0,68.0
224,70.0,80.0,0.8,0.75,1.0,0.8,15.0,25.0,10.0,40.0,70.0,80.0
225,-93.0,-127.0,0.4,0.64,1.0,1.0,19.0,31.0,30.0,20.0,-93.0,-127.0
226,-98.0,-90.0,0.92,0.36,1.0,0.06,1.0,2.0,4.0,46.0,-98.0,-90.0
227,-106.0,-44.0,0.62,0.28,1.0,1.0,36.0,14.0,18.0,32.0,-106.0,-44.0
228,-70.0,-80.0,0.8,0.75,1.0,0.8,15.0,25.0,10.0,40.0,-70.0,-80.0
229,-54.0,-74.0,0.34,0.6,1.0,0.2,5.0,5.0,31.0,19.0,-54.0,-74.0
230,-130.0,-68.0,0.42,0.22,1.0,1.0,38.0,12.0,28.0,22.0,-130.0,-68.0
231,-54.0,-132.0,0.48,0.88,1.0,1.0,6.0,44.0,26.0,24.0,-54.0,-132.0
232,-74.0,-98.0,0.56,0.36,1.0,0.1,3.0,2.0,22.0,28.0,-74.0,-98.0
233,-22.0,-23.0,0.7,0.66,1.0,1.0,17.0,33.0,15.0,35.0,-22.0,-23.0
234,-21.0,-68.0,0.36,0.66,0.8,1.0,18.0,32.0,25.0,15.0,-21.0,-68.0
235,-48.0,-51.0,0.74,0.62,0.4,1.0,20.0,30.0,5.0,15.0,-48.0,-51.0
236,-38.0,-42.0,0.72,0.8,1.0,1.0,10.0,40.0,14.0,36.0,-38.0,-42.0
237,-25.0,-16.0,0.9,0.44,0.06,1.0,26.0,24.0,1.0,2.0,-25.0,-16.0
238,-30.0,-63.0,0.48,0.56,1.0,0.1,3.0,2.0,26.0,24.0,-30.0,-63.0
239,-88.0,-38.0,0.66,0.28,0.06,1.0,36.0,14.0,1.0,2.0,-88.0,-38.0
240,21.0,60.0,0.36,0.66,0.2,1.0,18.0,32.0,6.0,4.0,21.0,60.0
241,11.0,16.0,0.4,0.28,1.0,1.0,37.0,13.0,29.0,21.0,11.0,16.0
242,7.0,5.0,0.76,0.84,1.0,1.0,9.0,41.0,11.0,39.0,7.0,5.0
243,11.0,8.0,0.64,0.44,0.06,1.0,27.0,23.0,1.0,2.0,11.0,8.0
244,40.0,50.0,0.5,0.72,1.0,0.1,1.0,4.0,25.0,25.0,40.0,50.0
245,-37.0,-115.0,0.32,0.82,1.0,1.0,10.0,40.0,33.0,17.0,-37.0,-115.0
246,-26.0,-73.0,0.3,0.88,0.2,1.0,6.0,44.0,5.0,5.0,-26.0,-73.0
247,-47.0,-24.0,0.8,0.72,1.0,1.0,13.0,37.0,11.0,39.0,-47.0,-24.0
248,-15.0,-5.0,0.94,0.66,1.0,1.0,18.0,32.0,2.0,48.0,-15.0,-5.0
249,-29.0,-25.0,0.92,0.86,1.0,1.0,6.0,44.0,4.0,46.0,-29.0,-25.0
250,97.0,86.0,0.68,0.64,1.0,1.0,18.0,32.0,16.0,34.0,97.0,86.0
251,80.0,23.0,0.82,0.22,1.0,0.1,4.0,1.0,4.0,46.0,80.0,23.0
252,74.0,88.0,0.6,0.68,1.0,0.06,1.0,2.0,20.0,30.0,74.0,88.0
253,84.0,95.0,0.68,0.76,0.2,1.0,12.0,38.0,5.0,5.0,84.0,95.0
254,9.0,22.0,0.68,0.56,1.0,1.0,22.0,28.0,16.0,34.0,9.0,22.0
255,85.0,78.0,0.18,0.18,1.0,1.0,41.0,9.0,40.0,10.0,85.0,78.0
256,89.0,74.0,0.7,0.6,1.0,0.06,1.0,2.0,15.0,35.0,89.0,74.0
257,54.0,132.0,0.48,0.88,1.0,1.0,6.0,44.0,26.0,24.0,54.0,132.0
258,63.0,8.0,0.8,0.48,1.0,0.1,3.0,2.0,10.0,40.0,63.0,8.0
259,11.0,31.0,0.52,0.8,1.0,1.0,11.0,39.0,24.0,26.0,11.0,31.0
260,-39.0,-75.0,0.8,0.76,1.0,1.0,12.0,38.0,9.0,41.0,-39.0,-75.0
261,-8.0,-9.0,0.48,0.26,1.0,1.0,37.0,13.0,25.0,25.0,-8.0,-9.0
262,-18.0,-47.0,0.32,0.84,1.0,1.0,8.0,42.0,33.0,17.0,-18.0,-47.0
263,-30.0,-48.0,0.56,0.76,1.0,1.0,12.0,38.0,22.0,28.0,-30.0,-48.0
264,-125.0,-5.0,0.92,0.04,1.0,1.0,48.0,2.0,4.0,46.0,-125.0,-5.0
265,33.0,60.0,0.26,0.42,0.4,1.0,28.0,22.0,17.0,3.0,33.0,60.0
266,60.0,94.0,0.16,0.88,1.0,0.02,0.0,1.0,42.0,8.0,60.0,94.0
267,72.0,89.0,0.8,0.96,1.0,0.1,0.0,5.0,10.0,40.0,72.0,89.0
268,11.0,14.0,0.24,0.48,1.0,1.0,26.0,24.0,37.0,13.0,11.0,14.0
269,125.0,5.0,0.92,0.04,1.0,1.0,48.0,2.0,4.0,46.0,125.0,5.0
270,38.0,42.0,0.72,0.8,1.0,1.0,10.0,40.0,14.0,36.0,38.0,42.0
271,80.0,89.0,0.68,0.8,1.0,1.0,10.0,40.0,16.0,34.0,80.0,89.0
272,114.0,78.0,0.88,0.56,1.0,1.0,22.0,28.0,6.0,44.0,114.0,78.0
273,63.0,58.0,0.52,0.08,0.1,1.0,45.0,5.0,2.0,3.0,63.0,58.0
274,5.0,25.0,0.6,0.96,1.0,1.0,3.0,47.0,20.0,30.0,5.0,25.0
275,-80.0,-89.0,0.68,0.8,1.0,1.0,10.0,40.0,16.0,34.0,-80.0,-89.0
276,-13.0,-9.0,0.48,0.62,0.8,1.0,18.0,32.0,22.0,18.0,-13.0,-9.0
277,-144.0,-114.0,0.48,0.44,1.0,1.0,28.0,22.0,26.0,24.0,-144.0,-114.0
278,-90.0,-60.0,0.44,0.44,0.06,1.0,26.0,24.0,2.0,1.0,-90.0,-60.0
279,-4.0,-15.0,0.9,0.74,1.0,1.0,12.0,38.0,5.0,45.0,-4.0,-15.0
280,-25.0,-55.0,0.28,0.52,1.0,1.0,24.0,26.0,36.0,14.0,-25.0,-55.0
281,-21.0,-60.0,0.36,0.66,0.2,1.0,18.0,32.0,6.0,4.0,-21.0,-60.0
282,-11.0,-2.0,0.78,0.96,1.0,1.0,2.0,48.0,12.0,38.0,-11.0,-2.0
283,-101.0,-82.0,0.84,0.68,1.0,0.4,5.0,15.0,8.0,42.0,-101.0,-82.0
284,-31.0,-75.0,0.4,0.16,1.0,1.0,42.0,8.0,30.0,20.0,-31.0,-75.0
285,35.0,47.0,0.4,0.6,1.0,0.1,2.0,3.0,30.0,20.0,35.0,47.0
286,9.0,18.0,0.68,0.96,1.0,0.4,0.0,20.0,17.0,33.0,9.0,18.0
287,63.0,60.0,0.52,0.96,0.8,1.0,3.0,47.0,19.0,21.0,63.0,60.0
288,39.0,52.0,0.64,0.94,1.0,1.0,3.0,47.0,18.0,32.0,39.0,52.0
289,17.0,100.0,0.12,0.88,0.02,1.0,6.0,44.0,0.0,1.0,17.0,100.0
290,54.0,74.0,0.34,0.6,1.0,0.4,5.0,15.0,31.0,19.0,54.0,74.0
291,93.0,127.0,0.4,0.64,1.0,1.0,19.0,31.0,30.0,20.0,93.0,127.0
292,45.0,21.0,0.66,0.36,1.0,0.02,1.0,0.0,16.0,34.0,45.0,21.0
293,9.0,13.0,0.62,0.48,1.0,0.2,5.0,5.0,20.0,30.0,9.0,13.0
294,125.0,63.0,0.48,0.04,1.0,1.0,48.0,2.0,25.0,25.0,125.0,63.0
295,-5.0,-12.0,0.56,0.7,1.0,1.0,14.0,36.0,22.0,28.0,-5.0,-12.0
296,-15.0,-17.0,0.58,0.58,1.0,1.0,21.0,29.0,21.0,29.0,-15.0,-17.0
297,-16.0,-8.0,0.6,0.96,1.0,1.0,2.0,48.0,20.0,30.0,-16.0,-8.0
298,-7.0,-5.0,0.76,0.84,1.0,1.0,9.0,41.0,11.0,39.0,-7.0,-5.0
299,-40.0,-7.0,0.72,0.24,1.0,0.2,8.0,2.0,13.0,37.0,-40.0,-7.0
